appname,updated,file_size,download,version,compatibility,price,rating_value,star_total,editors_choice,offered_by,description,Language Learning,Computer Engineering,General Learning,Exam Preparation,Maths,Art,other engineering,Educational Gaming,misc
Duolingo,2/12/2018,8.9M,"100000000-500,000,000 ",varies with device,varies with device,install,4.7,5608004,yes,Duolingo,"Learn Spanish, French, German, Italian, Russian, Portuguese, Turkish, Dutch, Irish, Danish, Swedish, Ukrainian, Esperanto, Polish, Greek, Hungarian, Norwegian, Hebrew, Welsh and English.
Totally fun and free. New! Swahili and Romanian.
Practice your speaking, reading, listening and writing skills while playing a game! You'll improve your vocabulary and grammar skills by answering questions and completing lessons. Start with basic verbs, phrases, and sentences, and learn new words daily.

• ""The most productive means of procrastination ever discovered. The short lesson blocks are painless and peppy, and reaching the next level (and then the level after that) becomes addictive."" —Slat
Duolingo is changing the way people learn languages.
• It's free, for real.
• It's fun. Advance by completing bite-sized lessons, and track your progress with shiny achievements.
• It's effective. 34 hours of Duolingo are equivalent to a semester of university-level education.
",1,0,0,0,0,0,0,0,0
Babbel,12/2/2017,21M,"10,000,000 - 50,000,000 ",4.1,5.7.3,install,4.2,194919,no,Babbel,"Speak a new language with confidence. Learn Spanish, French, Italian, German and many more languages with Babbel.— get the app named one of Google Play’s Best Apps 2015!

Try out the first lesson for free.


THE BABBEL METHOD
Here’s what makes Babbel more effective than any other language learning app:
★ Confidence — We teach you how to engage in practical, everyday conversations, making it easier for you to have authentic experiences in your new language.
★ Comprehension — Our lessons immerse you in relevant culture and real-life conversations.
★ Retention — We know you’re busy. That’s why our lessons are short but sweet: about 10-15 minutes, and designed to send your new language straight to long-term memory.

*Named 2016’s “most innovative company in education” by Fast Company*
*The World’s Highest Grossing Language Learning App*
*Google Play’s Best Apps of 2015*


FEATURES
• Extensive selection of interactive courses for 14 different languages.
• Ideal for both beginners and advanced learners.
• 10-15 minutes bite-sized activities that fit in your schedule.
• Entertaining listening, writing, reading and speaking exercises.
• Learn vocabulary from a wide range of topics (including travel, culture, and business)
• Speech recognition technology aids pronunciation
• Review Manager keeps vocabulary in your long-term memory
• Learning progress synchronized across all your Android devices and on the web


A VARIETY OF LANGUAGES
With Babbel you can learn Spanish, French, German, Italian, Brazilian Portuguese, Russian, Turkish, Polish, Indonesian, Dutch, Danish, Swedish, and Norwegian.


BABBEL HELPS YOU ACHIEVE YOUR GOALS
After just one month, you will be able to speak confidently about practical topics, such as:
• Transportation
• Shopping
• Directions
• Making friends and socializing
• Dining
• And much more!


WHAT PEOPLE SAY
“Babbel is one of the stalwarts of the online language-learning sphere.” -The Next Web
“Babbel’s lessons, unlike Duolingo’s, first focus on building basic conversational skills.” -The Economist
“Babbel exceeds expectations, delivering high-quality, self-paced courses in 13 languages.” -PC Magazine
Your Google Play account will be automatically charged at the same price for renewal within the 24-hour period prior to the end of the current payment period unless you change your subscription preferences in your account settings.

When a subscription is canceled, access to the app’s courses and features will expire at the end of the current payment period. ",1,0,0,0,0,0,0,0,0
Rossetta Stone,2/2/2018,65M,"5,000,000 - 10,000,000",4.5.1 ,5,install,4.5,"
153,084 ",yes,rossetta stone ltd.,"Start speaking a new language on day one! Try your first lesson free.
Our app helps you learn your second language the way you learned your first, with an intuitive, immersive method that's as fun to use as it is effective.
Learn Spanish (Latin America or Spain), English (US or British), French, Italian, German, Chinese (Mandarin), Arabic, Dutch, Filipino (Tagalog), Greek, Hebrew, Hindi, Irish, Italian, Japanese, Korean, Persian (Farsi), Polish, Portuguese (Brazil), Russian, Swedish, Turkish, or Vietnamese.

Rosetta Stone’s Learn Languages app lets you learn a language anytime, anywhere through immersive, self-paced lessons that introduce new skills in a way that stimulates your brain's natural language learning ability. Our award-winning teaching methodology has been trusted by millions worldwide for 20+ years, including educational institutions and corporate clients.

Get talking. Develop useful and practical conversation skills based on everyday scenarios and events.

Sound like a native speaker. speech recognition technology listens to your pronunciation and helps you refine it, helping you speak more authentically.

Pick up where you left off. We allow you to sync between Android devices so you can practice your skills on both Android phones and tablets seamlessly.

Learn any time. No internet? No problem. Download lessons to use offline for on-the-go training. (Not yet available for Enterprise and Education learners.)
For product updates, offers, and the latest from Rosetta Stone, including language-learning tips, news, and fun.

",1,0,0,0,0,0,0,0,0
Algorithms,10/3/2018,3.5M,"10,000 - 500,00 ",1,2.3,install,3.4,67,no,suttit tech,"This app contains Implementation (full working code) of a number of standard algorithms in C++, Java and Pseudo code for handy reference. Very useful for last minute revision for interview preparation! Algorithms covered fall under:

- Graph Algorithms
- Dynamic Programming
- Greedy Algorithms
- Number Theory
- Sorting Algorithms",0,1,0,0,0,0,0,0,0
Coursera,2/9/2018,,"5,000,000 - 10,000,000 ",varies with device,varies with device,install,4.4,"87,672",yes,coursera,"Learn on the go with the Coursera App for Android. Access more than 1,000 courses and Specializations developed by 140+ of the best colleges and universities in the world, and advance your career or continue your education by mastering subjects from Python programming and data science to photography and music.
Learn from top instructors in an engaging learning experience:
• Browse 1000+ courses in a variety of subject areas, from math, to music, to medicine
• Stream lecture videos online any time, or download for offline viewing
• Transition seamlessly between web and app learning, with coursework, quizzes and projects saved across both platforms
• Learn in dozens of languages, including Chinese, Spanish, Portuguese, French, and Russian
• Earn Course and Specialization Certificates and share your success with employers, colleagues, and friends
Advance your career or continue your education in subjects like:
• Computer Science: Programming, Mobile and Web Development
• Data Science: Machine Learning, Statistics, Probability and Data
• Business: Accounting, Marketing and Entrepreneurship
• Sciences: Robotics, Chemistry, Nutrition, and Medicine
• Art, including Design, Photography, Music, and Creative Writing
...and hundreds more!

",1,1,1,0,0,1,1,0,0
How to draw flowers,1/17/2018,7.8M," 1,000,000 - 5,000,000 ", 1.0.8 ,4.3,install,4.4,"8,921",no,creative apps,"Follow the steps to draw the beautiful flowers!
Not only drawing, but coloring.
Beautiful Flowers, ikebana, rose and more.
Detailed drawing steps to learn.
Don’t need any experience and skills, teach you step by step.
Follow the steps to finish your beautiful works!
I. Beautiful flowers drawing pictures for you.
II. Learning + Free creation: coloring your works after you finished.
III. Many beautiful drawing tools, just drawing the picture as you like.
IV. So easy, learn to draw the beautiful flowers now.
DOWN LOAD NOW !
Don’t forget to show your great works after finished.",0,0,0,0,0,1,0,0,0
Toppr,2/6/2018,12M,"1,000,000 - 5,000,000 ",6.2.16 ,4.3,install,4.4,"
51,640",no,Toppr,"Are you studying in school or preparing for an exam? Do you wish you had more personal attention in your studies?

Toppr is here to personalize learning to suit your individual needs. With our adaptive platform, you set your own learning goals, you learn at your own pace, enhance your strengths and address your weaknesses.

Here are the engineering and medical entrance exams you can prepare for on Toppr:
• IIT JEE Main
• IIT JEE Advanced
• NEET
• AIIMS
• UPSEE (UPTU)
• BITSAT
• COMEDK
• MH-CET
• TS-EAMCET
• AP-EAMCET
• WBJEE
• VITEEE
• AFMC

The best part? You can customize your syllabus to include any class, board and exam you’re preparing for, from the above!

Here are the scholarship exams you can prepare for on Toppr:
• NTSE
• NSO
• KVPY
• HBBVS

Here are the boards whose syllabi we cover:
• CBSE
• ICSE
• IGCSE
• HSC
• SSC

Here are the classes we cater to:
Class 5, Class 6, Class 7, Class 8, Class 9, Class 10, Class 11, Class 12

Here’s what you can do on Toppr:
• Watch video lectures and learn at your own pace
• Practice customized question banks, tailored to your performance
• Challenge your friends in mock-tests
• Get your doubts solved 24x7

Here are some of our key features:
• Customized syllabi
• Simple, comprehensive and engaging videos
• Adaptive practice questions
• 24x7 experts to clear doubts
• All-India test series
• Study groups
• Challenge friends on tests

Here are major advantages of using Toppr:
• Easily master any chapter faster and better with Goals
• Learn any topic any time with video lectures
• Day or night, get your doubts cleared immediately, 24x7
• Stay motivated with goals based methodology
• Revise concepts regularly
• Compare with all India rankers in test series

Here’s some information about our platform depth:
• 2 million students
• Over 2000 hours in video lectures
• Over 3.5 lakh questions
• 15,000 concepts
• Over 40 mock tests for almost all exams
",0,0,0,1,0,0,0,0,0
CppDroid,8/7/2017,44M," 1,000,000 - 5,000,000 ",varies with device,varies with device,install,4.1,"28,841",no,Anton Smirnov,"CppDroid is simple C/C++ IDE focused on learning programming languages and libraries.

Features:
* code complete *
* real-time diagnostics (warnings and errors) and fixes *
* file and tutorial navigator (variables, methods, etc)
* static analysis *
* smart syntax highlighting
* portrait/landscape UI
* auto indentation and auto pairing (configurable)
* configurable code syntax highlighting (themes) *
* compile C/C++ code (no root required)
* works offline (built-in compiler, no internet connection required)
* great C/C++ code examples included *
* detailed C++ tutorial and learn guide included *
* add-ons manager and auto updates
* Dropbox support *
* Google Drive support *

On first launch CppDroid extracts SDK (about 150Mb) and downloads and extracts examples and tutorials, so about 215 Mb of internal storage space is required. It can't be moved to sd card because of android security.

Start learning C and C++ by examples (menu / Project / Examples) or tutorials (menu / Project / Tutorials).
",0,1,0,0,0,0,0,0,0
Structural Engineering,1/3/2018,21M," 1,000 - 5,000 ",2.1,4.0.3,install,4,11,no,Softecks,"This app is the best resource for your structural engineering course.
Structural engineering a specialty within the field of civil engineering focuses on the framework of structures, and on designing those structures to withstand the stresses and pressures of their environment and remain safe, stable and secure throughout their use. In other words, structural engineers make sure that buildings don't fall down and bridges don't collapse.
⇢ Analyse configurations of the basic structural components of a building or other structure.
⇢ Calculate the pressures, stresses and strains that each component, such as a beam or lintel, will experience from other parts of the structure due to human use or environmental pressures such as weather or earthquakes.

Consider the strength of various materials, e.g. timber, concrete, steel and brick, to see how their inclusion may necessitate a change of structural design.

⇢ Liaise with other designers, including architects, to agree on safe designs and their fit with the aesthetic concept of the construction.

⇢ Examine structures at risk of collapse and advising how to improve their structural integrity, such as recommending removal or repair of defective parts or rebuilding the entire structure.

⇢ Make drawings, specifications and computer models of structures for building contractors.
work with Geo technical engineers to investigate ground conditions and analyse results of soil sample and in-site tests.

⇢ Liaise with construction contractors to ensure that newly erected buildings are structurally sound.

⇢ Apply expert knowledge of the forces that act on various structures.

⇢ Use computers and computer-aided design (CAD) technology for simulation purposes.
and much more ",0,0,0,0,0,0,1,0,0
Word Tree,1/19/2018,,"10,000 - 50,000 ",0.9.1 ,4.1,install,4.5,154,no,drawapp,"Get ready for a series of FUN and ADDICTIVE word puzzle challenges! I Love Word is the ultimate brain teaser word puzzle game designed for all ages. Try it and you won’t be able to put your phone down! Don’t believe it? Accept the challenge and see for yourself!
HOW TO PLAY
· Connect letters to form words and find all the words to complete each level.
· Finding starred hidden words for gold coins.
· Can’t think of a word? Don’t worry, tips are there to help you.
· Clear levels and find hidden words for gold coins to unlock content and more tips.
FEATURS
· PLAY AND LEARN – No matter what language background you’re from, I Love Word can let you have incredible fun and improve your English!
· EXPAND VOCABULARY – Both adults and kids can maintain and expand their vocabulary while having great fun!
· KIDS FRIENDLY – The beginning levels are relatively easy, so kids can start with ease, and play and learn new words at the same time.
· FAMILY AND FRIENDS – Playing with family and friends can be even more fun! gather more brain power, and have fun solving incredible and addictive word puzzles!
· 2000+ LEVELS – There are more than 2000 levels, and each is getting more challenging!
· ANYTIME ANYWHERE – There’s no time limit for each level; you can play anytime, anywhere, and progress will be saved automatically.
Download for FREE now and become the WORD MASTER!",1,0,0,0,0,0,0,1,0
